"ID","Age","Sex","Violation","Location","Army","PACS","Police"
"sv0013915",50,"M","To","rural","Yes","No","No"
"sv0001569",19,"M","To","rural","Yes","No","No"
"sv0011910",78,"M","Mu","rural","No","No","No"
"sv0011032",40,"M","Mu","rural","No","Yes","No"
"sv0002916",5,"F","HR","rural","No","No","No"
"sv0016233",15,"F","Mu","rural","No","No","No"
"sv0016375",37,"M","Ds","urban","No","No","No"
"sv0003358",70,"M","Mu","rural","Yes","No","No"
"sv0003870",45,"M","Mu","rural","No","No","No"
"sv0013432",38,"M","Mu","rural","Yes","No","No"
"svv000116",38,"M","Mu","rural","No","No","No"
"sv0009830",40,"M","Mu","rural","No","No","No"
"sv0008343",23,"M","Se","urban","No","No","No"
"sv0014409",25,"F","Mu","rural","No","No","No"
"svv000224",40,"M","Se","rural","No","No","No"
"sv0011660",24,"M","Mu","rural","No","Yes","No"
"sv0010861",30,"M","Mu","urban","No","No","No"
"sv0012604",14,"F","Ds","urban","No","No","No"
"sv0010014",33,"M","Mu","rural","No","No","No"
"sv0008856",15,"M","Mu","rural","Yes","Yes","No"
"sv0000762",42,"M","Ds","rural","No","No","No"
"sv0010772",22,"M","Ds","urban","No","No","No"
"sv0001264",55,"M","Se","rural","No","No","No"
"sv0428468",43,"F","DM","urban","No","No","No"
"sv0012912",35,"F","HR","rural","No","No","No"
"sv0007777",38,"M","Se","urban","No","No","No"
"sv0013852",45,"M","Mu","rural","No","No","No"
"sv0006869",36,"M","Mu","rural","No","No","No"
"sv0011103",55,"M","Mu","rural","Yes","Yes","No"
"sv0008686",44,"M","DM","rural","No","No","No"
"sv0003053",19,"M","Se","rural","No","No","No"
"sv0017238",30,"M","Mu","rural","No","No","No"
"sv0426195",26,"M","Mu","rural","No","No","No"
"sv0013029",32,"M","Se","urban","No","No","No"
"sv0413891",5,"F","Mu","rural","No","No","No"
"sv0003707",57,"M","DM","rural","No","No","No"
"sv0017524",28,"M","Mu","rural","No","Yes","No"
"sv0006122",2,"M","Mu","rural","No","No","No"
"sv0007116",19,"M","Mu","rural","No","No","No"
"sv0007192",38,"M","Se","urban","No","No","No"
"sv0008267",30,"M","Se","rural","No","No","No"
"sv0020247",56,"F","Mu","rural","No","No","No"
"sv0000592",35,"F","Mu","rural","Yes","No","No"
"sv0014105",5,"M","Mu","rural","Yes","Yes","No"
"sv0006197",45,"M","Ds","urban","No","No","No"
"sv0018529",38,"M","Mu","rural","Yes","No","No"
"sv0016020",20,"M","Mu","rural","No","No","No"
"sv0006053",16,"F","Mu","rural","No","No","No"
"sv0014071",17,"M","Ds","urban","No","No","No"
"sv0016617",24,"F","Se","rural","No","No","No"
"sv0008340",34,"M","Ds","urban","No","No","Yes"
"sv0014637",35,"M","Mu","rural","Yes","No","No"
"sv0013164",22,"M","Se","rural","No","No","No"
"sv0004337",19,"M","Mu","rural","No","No","No"
"sv0004677",90,"F","Mu","rural","Yes","No","No"
"svv000164",70,"M","Mu","rural","No","No","No"
"sv0000180",28,"M","Se","urban","No","No","No"
"sv0001281",29,"M","Se","urban","No","No","No"
"sv0017484",40,"M","Mu","rural","No","No","No"
"sv0015234",31,"M","Mu","","No","No","No"
"sv0000997",33,"F","Mu","urban","No","No","No"
"sv0005763",65,"F","Se","rural","No","No","No"
"sv0018316",20,"M","Mu","rural","No","No","No"
"sv0018236",31,"F","Mu","rural","Yes","No","No"
"sv0001620",57,"M","DM","urban","No","No","No"
"sv0006793",46,"M","Mu","urban","No","No","No"
"sv0000153",22,"M","Se","urban","Yes","No","No"
"sv0016279",20,"M","Mu","rural","Yes","No","No"
"sv0422286",58,"M","Mu","rural","No","No","No"
"sv0012670",30,"M","Mu","rural","Yes","No","No"
"sv0007052",39,"F","Se","urban","No","No","No"
"sv0004040",22,"M","Se","rural","No","No","No"
"sv0018410",38,"M","Mu","urban","No","No","No"
"sv0012049",50,"M","Mu","rural","No","No","No"
"sv0010784",18,"M","Ds","urban","No","No","No"
"sv0003750",29,"M","Mu","rural","Yes","No","Yes"
"sv0013531",48,"M","Se","rural","No","No","No"
"sv0010050",16,"M","DM","urban","No","No","No"
"sv0010673",48,"M","To","rural","No","No","No"
"sv0008329",43,"M","Se","urban","No","No","No"
"sv0013486",26,"M","Mu","rural","No","No","No"
"sv0009476",20,"M","Mu","urban","No","No","No"
"sv0007905",30,"M","Mu","rural","Yes","Yes","No"
"sv0010069",26,"M","Se","rural","No","No","No"
"sv0002719",27,"M","Ds","urban","No","No","No"
"sv0014545",14,"M","Se","urban","No","No","No"
"sv0009209",68,"M","Mu","rural","No","No","No"
"sv0009048",23,"M","Mu","urban","Yes","No","No"
"sv0012281",20,"F","Mu","rural","No","No","No"
"sv0000829",33,"M","Mu","urban","No","No","No"
"sv0015774",52,"M","Mu","rural","Yes","No","No"
"sv0006329",28,"M","Mu","rural","No","No","No"
"sv0013289",45,"M","Mu","rural","Yes","No","No"
"sv0007399",6,"F","Mu","rural","Yes","No","No"
"sv0002859",20,"M","Mu","rural","No","No","No"
"sv0005238",20,"M","Se","urban","No","No","No"
"sv0009705",26,"M","Mu","rural","No","No","No"
"sv0005755",50,"M","Mu","rural","No","No","No"
"sv0016215",57,"M","Mu","rural","No","No","No"
"sv0001409",35,"M","Mu","urban","No","No","No"
"sv0016305",31,"M","Mu","urban","No","No","No"
"sv0017198",35,"F","Mu","rural","No","No","No"
"sv0015934",55,"F","Mu","rural","Yes","No","No"
"sv0004606",35,"F","Mu","rural","Yes","No","Yes"
"sv0010692",35,"M","Mu","rural","Yes","No","No"
"svv000252",60,"M","Se","rural","No","No","No"
"sv0015671",13,"M","Mu","rural","Yes","No","No"
"svp011568",22,"M","Mu","rural","No","No","No"
"sv0007922",27,"M","Mu","rural","No","Yes","No"
"sv0012316",13,"M","HR","urban","No","No","No"
"sv0011212",19,"M","Mu","rural","No","No","No"
"sv0004097",65,"M","Mu","rural","No","No","No"
"sv0007581",29,"M","Se","urban","No","No","No"
"sv0015284",38,"M","Mu","rural","Yes","No","No"
"sv0008257",40,"M","Mu","rural","Yes","No","No"
"sv0003748",50,"F","Mu","rural","No","No","No"
"sv0013383",13,"F","Mu","urban","No","No","No"
"sv0001364",35,"M","Ds","urban","No","No","No"
"sv0014199",19,"M","Mu","rural","No","No","No"
"sv0008713",36,"M","Mu","rural","No","No","No"
"sv0009215",23,"M","Se","rural","No","No","No"
"sv0013330",25,"M","Mu","urban","No","No","No"
"sv0008246",53,"M","Mu","rural","No","No","No"
"sv0013856",18,"F","Se","urban","No","No","No"
"sv0003593",24,"M","Mu","urban","No","No","No"
"sv0012359",25,"M","Mu","rural","Yes","No","No"
"sv0006829",27,"M","Mu","rural","No","No","No"
"sv0001460",43,"M","Mu","urban","No","No","No"
"sv0009253",23,"F","Se","rural","Yes","No","No"
"sv0007743",65,"M","Mu","urban","No","No","No"
"sv0016655",32,"M","Se","rural","No","No","No"
"sv0012957",41,"M","Mu","rural","No","No","No"
"sv0003457",14,"F","To","rural","Yes","Yes","No"
"sv0006185",23,"M","Se","urban","No","No","No"
"sv0011598",8,"M","Ds","urban","No","No","No"
"sv0011740",5,"F","Mu","rural","Yes","Yes","No"
"sv0009211",27,"M","Ds","rural","No","No","No"
"sv0007253",33,"F","Mu","rural","Yes","No","No"
"sv0006015",17,"M","HR","urban","No","No","No"
"sv0016676",23,"M","Ds","urban","No","No","No"
"sv0004028",25,"M","Se","urban","No","No","No"
"sv0018075",45,"M","Mu","rural","No","No","No"
"sv0010825",44,"M","Se","rural","No","No","No"
"sv0008362",20,"M","Mu","rural","No","No","No"
"sv0013441",22,"M","Se","rural","No","No","No"
"sv0005109",17,"M","Mu","rural","Yes","No","No"
"sv0015367",18,"M","Mu","rural","Yes","No","No"
"sv0001219",40,"M","Mu","rural","No","No","No"
"sv0007563",88,"M","Mu","rural","Yes","Yes","No"
"sv0008068",6,"F","Mu","rural","Yes","No","No"
"sv0012465",45,"M","Mu","rural","No","No","No"
"sv0017419",29,"F","Ds","rural","No","No","No"
"sv0018141",41,"M","Se","rural","No","No","No"
"sv0010540",35,"M","Mu","rural","Yes","Yes","No"
"sv0010544",35,"M","Se","rural","No","No","No"
"sv0006837",35,"M","Mu","rural","No","No","No"
"sv0007252",23,"M","DM","rural","No","No","No"
"sv0009097",4,"F","Mu","rural","Yes","No","No"
"sv0001745",46,"M","Mu","rural","No","No","No"
"sv0007827",45,"M","Mu","rural","No","No","No"
"sv0049371",50,"M","Se","rural","No","No","No"
"sv0007193",40,"M","Mu","rural","Yes","Yes","No"
"sv0007192",38,"M","Mu","rural","No","No","No"
"sv0011913",50,"M","Ds","urban","No","No","No"
"sv0005554",45,"M","Se","rural","No","No","No"
"sv0016880",39,"M","Se","rural","No","No","No"
"sv0001614",42,"M","Ds","rural","No","No","No"
"sv0014056",33,"M","To","rural","Yes","No","No"
"sv0007660",10,"M","Mu","rural","Yes","No","No"
"sv0003510",45,"F","HR","urban","No","No","No"
"sv0015347",18,"F","Ds","urban","No","No","No"
"sv0003364",20,"M","Mu","rural","No","No","No"
"svv000083",17,"M","Se","urban","No","No","No"
"sv0011504",6,"F","Mu","rural","Yes","No","No"
"sv0012938",18,"F","Ds","rural","Yes","Yes","No"
"sv0013101",27,"M","HR","urban","No","No","No"
"sv0012541",24,"F","Se","rural","Yes","No","No"
"sv0004621",29,"M","DM","urban","No","No","No"
"sv0002995",25,"F","Mu","rural","No","No","No"
"svv000216",58,"F","Mu","rural","No","No","No"
"sv0009343",42,"M","Mu","rural","No","No","No"
"sv0006854",30,"M","Ds","urban","No","No","No"
"sv0003334",49,"M","Ds","urban","No","No","No"
"sv0009301",25,"F","To","rural","No","No","No"
"sv0002942",48,"F","Mu","rural","Yes","No","No"
"sv0017171",30,"M","Mu","rural","Yes","No","No"
"sv0000255",36,"M","Se","rural","Yes","No","No"
"sv0011961",38,"M","Se","urban","No","No","No"
"sv0018323",36,"M","Mu","rural","Yes","No","No"
"sv0007221",17,"M","Se","urban","No","No","No"
"sv0017536",63,"M","Mu","rural","Yes","Yes","No"
"sv0011731",26,"M","Se","urban","No","No","No"
"sv0005196",23,"M","Mu","rural","No","Yes","No"
"sv0004831",20,"M","Mu","rural","No","No","No"
"sv0014505",23,"M","Mu","urban","No","No","No"
"sv0005572",30,"M","Mu","rural","No","No","No"
"sv0003017",35,"M","Mu","urban","No","No","No"
"sv0005758",21,"F","Mu","urban","No","No","No"
"sv0003269",30,"F","Mu","rural","No","Yes","No"
"sv0008784",8,"M","Mu","rural","Yes","No","No"
"sv0008057",35,"M","Mu","rural","No","No","No"
"sv0017811",48,"M","Mu","rural","Yes","No","No"
"sv0017738",24,"F","Se","urban","No","No","Yes"
"sv0003865",2,"F","Mu","rural","Yes","No","No"
"sv0009918",31,"M","Mu","urban","No","No","No"
"sv0010946",30,"M","DM","rural","No","No","No"
"sv0009449",45,"M","Mu","urban","No","No","No"
"sv0004071",23,"M","Ds","urban","No","No","No"
"svv000100",60,"M","Mu","rural","Yes","Yes","No"
"sv0018254",19,"M","Mu","rural","Yes","Yes","No"
"sv0011034",15,"M","Mu","rural","No","No","No"
